Date,AAPL,CSCO,IBM,MSFT
2018-01-02,43.06499862670898,38.86000061035156,147.46653747558594,85.94999694824219
2018-01-03,43.057498931884766,39.16999816894531,151.52008056640625,86.3499984741211
2018-01-04,43.25749969482422,38.9900016784668,154.5889129638672,87.11000061035156
2018-01-05,43.75,39.52999877929688,155.3441619873047,88.19000244140625
2018-01-08,43.587501525878906,39.93999862670898,156.28106689453125,88.27999877929688
2018-01-09,43.58250045776367,39.68999862670898,156.625244140625,88.22000122070312
2018-01-10,43.5724983215332,39.90999984741211,156.95985412597656,87.81999969482422
2018-01-11,43.81999969482422,40.09999847412109,156.97897338867188,88.08000183105469
2018-01-12,44.272499084472656,40.869998931884766,155.965576171875,89.5999984741211
2018-01-16,44.04750061035156,40.540000915527344,156.6443634033203,88.3499984741211
2018-01-17,44.775001525878906,41.20000076293945,161.2332763671875,90.13999938964844
2018-01-18,44.81499862670898,41.29999923706055,161.68260192871094,90.0999984741211
2018-01-19,44.6150016784668,41.290000915527344,155.2294464111328,90.0
2018-01-22,44.25,41.65999984741211,155.44932556152344,91.61000061035156
2018-01-23,44.2599983215332,42.09999847412109,158.93881225585938,91.9000015258789
2018-01-24,43.55500030517578,42.16999816894531,158.09751892089844,91.81999969482422
2018-01-25,42.77750015258789,41.900001525878906,158.193115234375,92.33000183105467
2018-01-26,42.87749862670898,42.560001373291016,159.9808807373047,94.05999755859376
2018-01-29,41.9900016784668,42.84999847412109,159.46463012695312,93.91999816894533
2018-01-30,41.74250030517578,42.25,156.42446899414062,92.73999786376952
2018-01-31,41.85749816894531,41.540000915527344,156.50096130371094,95.01000213623048
2018-02-01,41.94499969482422,41.70000076293945,155.2581329345703,94.26000213623048
2018-02-02,40.125,40.93000030517578,152.0363311767578,91.77999877929688
2018-02-05,39.122501373291016,38.77999877929688,145.82217407226562,88.0
2018-02-06,40.75749969482422,40.16999816894531,148.50860595703125,91.33000183105467
2018-02-07,39.8849983215332,40.34000015258789,147.08413696289062,89.61000061035156
2018-02-08,38.78749847412109,38.77000045776367,141.09942626953125,85.01000213623047
2018-02-09,39.102500915527344,39.52999877929688,142.93499755859375,88.18000030517578
2018-02-12,40.6775016784668,40.59999847412109,144.7418670654297,89.12999725341797
2018-02-13,41.084999084472656,41.22999954223633,144.12045288085938,89.83000183105469
2018-02-14,41.84249877929688,42.09000015258789,147.95411682128906,90.80999755859376
2018-02-15,43.247501373291016,44.08000183105469,149.14913940429688,92.66000366210938
2018-02-16,43.10749816894531,44.33000183105469,149.31166076660156,92.0
2018-02-20,42.962501525878906,44.060001373291016,148.33651733398438,92.72000122070312
2018-02-21,42.76750183105469,43.310001373291016,147.18930053710938,91.48999786376952
2018-02-22,43.125,42.93999862670898,146.44358825683594,91.7300033569336
2018-02-23,43.875,44.0,148.68069458007812,94.05999755859376
2018-02-26,44.74250030517578,45.36000061035156,151.6061248779297,95.41999816894533
2018-02-27,44.59749984741211,45.040000915527344,149.66539001464844,94.1999969482422
2018-02-28,44.52999877929688,44.77999877929688,148.97705078125,93.7699966430664
2018-03-01,43.75,43.79999923706055,147.04588317871094,92.8499984741211
2018-03-02,44.0525016784668,44.060001373291016,147.69598388671875,93.0500030517578
2018-03-05,44.20500183105469,44.52000045776367,150.0478057861328,93.63999938964844
2018-03-06,44.16749954223633,44.290000915527344,148.87188720703125,93.31999969482422
2018-03-07,43.75749969482422,44.20000076293945,151.35755920410156,93.86000061035156
2018-03-08,44.23500061035156,44.34000015258789,149.34034729003906,94.43000030517578
2018-03-09,44.994998931884766,45.369998931884766,152.30401611328125,96.54000091552734
2018-03-12,45.43000030517578,45.54999923706055,153.2122344970703,96.7699966430664
2018-03-13,44.99250030517578,45.15999984741211,152.31358337402344,94.41000366210938
2018-03-14,44.61000061035156,45.27999877929688,151.16635131835938,93.8499984741211
2018-03-15,44.66249847412109,45.33000183105469,152.5908203125,94.18000030517578
2018-03-16,44.505001068115234,45.0099983215332,153.2122344970703,94.5999984741211
2018-03-19,43.82500076293945,44.27000045776367,150.43020629882812,92.88999938964844
2018-03-20,43.810001373291016,44.369998931884766,149.33078002929688,93.12999725341795
2018-03-21,42.817501068115234,44.310001373291016,149.7992401123047,92.4800033569336
2018-03-22,42.212501525878906,43.06999969482422,145.4015350341797,89.79000091552734
2018-03-23,41.23500061035156,42.41999816894531,142.34225463867188,87.18000030517578
2018-03-26,43.192501068115234,44.060001373291016,146.625244140625,93.77999877929688
2018-03-27,42.084999084472656,42.68000030517578,145.2294464111328,89.47000122070312
2018-03-28,41.619998931884766,41.65999984741211,145.8126220703125,89.38999938964844
2018-03-29,41.94499969482422,42.88999938964844,146.68260192871094,91.2699966430664
2018-04-02,41.66999816894531,41.0099983215332,143.47036743164062,88.5199966430664
2018-04-03,42.09749984741211,41.380001068115234,143.26004028320312,89.70999908447266
2018-04-04,42.90250015258789,41.20000076293945,147.34225463867188,92.33000183105467
2018-04-05,43.20000076293945,41.81999969482422,147.25621032714844,92.37999725341795
2018-04-06,42.095001220703125,40.72999954223633,143.94837951660156,90.2300033569336
2018-04-09,42.51250076293945,41.16999816894531,145.9751434326172,90.7699966430664
2018-04-10,43.3125,42.5099983215332,148.55641174316406,92.87999725341795
2018-04-11,43.11000061035156,42.43000030517578,148.52772521972656,91.86000061035156
2018-04-12,43.53499984741211,43.34000015258789,151.11854553222656,93.58000183105467
2018-04-13,43.682498931884766,43.0,149.818359375,93.08000183105467
2018-04-16,43.95500183105469,43.29999923706055,150.9464569091797,94.16999816894533
